timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,input_amounts,output_addresses,output_amounts,fee,script_type,geo_country,asn,tag
2026-09-10T08:38:50Z,162.247.74.239,198.51.100.1,58120,8333,c9b7d3a34bee9449eee7f74ad02556d681ee1ce531303978e230a6a45b87ff2b,1j54yGypjyDoAnKBu5oQ23ohB2i5Qpbh1D,1.191004,bc1q3jxtujpqur3mnxpcaln9j26wfxyyp5dq3ughaa,1.188622,0.002382,p2pkh,DE,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:38:55Z,203.0.113.10,198.51.100.1,59751,8333,8df9d1d09e214113d6dfa07ab475ada770038a8f90cf62c0594ba265a94183a6,bc1qr7tcwa93wgkd9v3d6966djpax89l9llnfhwqhj,1.331301,bc1qzd37030eegzwg2ascd8jw0snckzj493nhghgem,1.328638,0.002663,p2pkh,GB,AS15169,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:39:04Z,162.247.74.6,198.51.100.1,9373,8333,2342bf1a2b2a6ea335b881f66734c5007171a5159099092d88594f1256cbd003,bc1q8ly2j2z4z3g4v75f3cczz9s7wzcqhn42vc4xda,1.26241,bc1qzd37030eegzwg2ascd8jw0snckzj493nhghgem;1LJBQmq73ReCnkoBX1xrxtab3xEwq2id69,0.883687;0.376198,0.002525,p2sh,DE,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:50:26Z,89.234.157.98,198.51.100.1,48950,8333,dff1f72df3358e85525e27bd0de62a24dd460de5ae0765443fe04a07840d0b16,1EfSp581MjqrekZo2NVa78oDQ6uSQxe96G,0.292553,bc1q6wjvu9n06p9hw87d3xygtfmn75unxq325cep75,0.291968,0.000585,p2wpkh,NL,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:55:04Z,172.67.182.80,198.51.100.1,42205,8333,39033706be21654d8a322a0b3c9eaa6a70c0600f8d96b48d10abd248da17ff40,1GLzevnysSHqkB8mXcuU1KiEvhT3WzAjf1,1.25879,bc1qzvfslsyexdefsck93q46mfz8f94jnww9wdjtdr,1.256272,0.002518,p2wpkh,NL,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:58:36Z,45.154.255.206,198.51.100.1,54978,8333,54ea8ce4f139fa9a034bd21cf87c28e7769179a08da1ced297defe8a8d33b4a8,bc1qwgyku5reuy8jhspnhwl44mmrnefqj22n2qcwcr,1.472417,1S4tfGkxUrknB7tan19STrGLg12JpxQF1z,1.469472,0.002945,p2sh,JP,AS15169,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:58:39Z,104.21.55.143,198.51.100.1,15191,8333,57f80d42b3a529559970916777212436612b8031be54e0bf6af0e2dfb0502b6c,1mVWeimovhmfKuomxX9V7ZfdJkk5JetS7B,0.097145,1vGba58ybgH4bcZVs7sHT7Vzmx15iQi2FU,0.096951,0.000194,p2pkh,IN,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:00:22Z,89.234.157.48,198.51.100.1,25752,8333,f8f715e978b42dbfdd16a0f7d4e3f59f3b00d357f72fc30a5316d99dba18ea17,bc1qzvfslsyexdefsck93q46mfz8f94jnww9wdjtdr,1.144426,bc1qjde4xya4s3alt3udgvjdqmqud89c8g0wv0cv9p,1.142137,0.002289,p2wpkh,US,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:00:33Z,162.247.74.73,198.51.100.1,4033,8333,9eba2b6b1c705802d7418f39e9e477980562127eaf494627bf43833c7623c6db,bc1qxzf8zc8g09crn0x5hu0krdv9u3ysk7n3m4k7s4,0.270033,bc1qz57nyr2pkmdkz4d8sv789wf4k3mh7knlhnv6j8,0.269493,0.00054,p2sh,SG,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:00:41Z,104.244.72.130,198.51.100.1,7368,8333,6d7df65043c410cd23c24a3bb2fc9181e1f87959fecc92f1cdb3acb0238c7853,1SqW3KWAWzWV5z1gzRrg2yEG5PkoKFrQ9f,0.546701,1avUz4k3pxyYvB5Pdo9x4Wc2xm62KXFBwv,0.545608,0.001093,p2sh,US,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:03:06Z,104.244.72.62,198.51.100.1,33054,8333,ba7857dd393dff4baf9a8081dea21718ac47bba729eb550e1d35f65a07d19c50,13qRmKw3xVpgRb6YX8xU5CuZn4csPAERJh,0.80948,1iXMxrFjappoP8xkM1ssJWR7PeqxALXvLt,0.807861,0.001619,p2pkh,SG,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:04:19Z,203.0.113.142,198.51.100.1,16979,8333,ede636cd68cdf5dcf410f74ed9da7ad3a060ab9e781dd3ce6c26cea6030302d6,bc1qzvfslsyexdefsck93q46mfz8f94jnww9wdjtdr,1.127173,1UBZoR57dJq9BiFwUsh1VRG72RYMEN7DGS,1.124919,0.002254,p2pkh,CH,AS15169,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:06:02Z,172.67.182.22,198.51.100.1,35681,8333,a45f96173a814192e8c22ad49c94f0cccde6e300ea0725923a3eaf5ac246b69d,bc1qg0zrct4g9rvtwettarynfed38kr9l9jvlwwl2w,0.119843,11Dzo7THMn5hYyN9xGcbUHgSy6bbjsZmaW,0.119603,0.00024,p2pkh,GB,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:06:23Z,45.154.255.11,198.51.100.1,22029,8333,19eac8f1b3671d4f3465d49767386a42afa87d6c8db7c2ec55fa44dadf288b08,1PXHwpkLNVLrg2RY9zhTqyfVdJ615XuNy2,0.875978,bc1q6642dzap7cj2f5xaea0ylhs474zmvpqevupzcl,0.874226,0.001752,p2pkh,GB,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:08:49Z,198.51.100.117,198.51.100.1,24006,8333,b2f8fa0ffe29834790bf5def74feaea0e0f4a1f7d087f58262239c39a7c5c90e,1hVhCyhYsEMdXtp8TnovZHGgHV2cYsNM6S,0.210946,1jmoJuFjPNBNmBDm56pHe84jk4XwbuNysb;13W2JH9WA3quTKa3eynBiGT15RyZfFKaWr,0.147662;0.062862,0.000422,p2wpkh,CH,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:08:51Z,104.21.55.87,198.51.100.1,35601,8333,7866447f9e1252cbecc9d7c49cdc1bfcf7c9e0f75ed85035158eea5d6cd80f5e,bc1qze9ldqexmcx5ku0ehfyraqyu0gytf9ndax68mz,1.075513,bc1qvnys33xvwshuzer54apx3hq9ekjvp496e0n4pg;bc1qg9r54ve6yqjnl5r9nqjx5xg8n7qkmk45ld0u5d,0.752859;0.320503,0.002151,p2sh,JP,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:12:35Z,203.0.113.142,198.51.100.1,4549,8333,56da8e7f98fd3e965e25345a368bbf84c8136b21798bea66d80b5539214425e2,1Cp3CUcnuZGtcT2SAS67CimdVGXcRZ7N9T,0.253584,bc1q90k7m6yhmjnvh97akvht5yfjtpf7ukujyr9zj0,0.253077,0.000507,p2wpkh,FR,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:13:47Z,162.247.74.73,198.51.100.1,55317,8333,3a2ff23203c4e526e2825ef8e7d0936f2530a4154b7b2d48e9746f23bb38abad,bc1qjde4xya4s3alt3udgvjdqmqud89c8g0wv0cv9p,0.789272,bc1qa6u2gnf8hp548zh0728y5qu554cuy0wmzv7hpr;1yrgzkuZEQCnVz3ahdUe3NFHXu24wWvKVZ,0.55249;0.235203,0.001579,p2wpkh,US,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:15:26Z,198.51.100.182,198.51.100.1,22178,8333,accb974d0664ebd5fce07d8cc70621082a1957e21375aed17b04837c59e8c0de,bc1qm3v22rq7l5rzaee674z26f2yw4demdrdfq6ay6,1.383214,1YVceRk6hHL7YP1h3imJSGb5Hp1xTFYSfH,1.380448,0.002766,p2wpkh,FR,AS15169,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:17:39Z,45.154.255.177,198.51.100.1,9964,8333,c11cb401c0cc6ba3700e64954c57b8c6950a38d2c8e2db2cb9fde413a470b92d,bc1qkxd70qjn4j5er0s5njdxfsjke7yc8p5gvkfjtf,1.146031,bc1qn9hffhfxy028c0v5fgv9u5ve50mnlu60s775ra;1VtWUFaVKBeJabZN4YpJ4st745pHXZyXKc,0.802222;0.341517,0.002292,p2wpkh,DE,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:29:00Z,45.154.255.206,198.51.100.1,29701,8333,c477af205331514e22387ac487388585a992f9fc7f0febd96ef480e00677d27c,1PAtFciTVP6dYKwCyo91m6RHFYpB9skJFL,0.866158,1Zi7EM95hG8G7SyNxjfXPGZxWqAbRGCJMS,0.864426,0.001732,p2pkh,DE,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:37:23Z,172.67.182.119,198.51.100.1,57956,8333,517da39bffee84d7efe53f425e58c6f5d16cacfdb34ffd305fe7a4aa110b14be,bc1q7c58pka8uravtwhp9hzpws967u9v4zpjjym6yk,0.695061,bc1q90k7m6yhmjnvh97akvht5yfjtpf7ukujyr9zj0,0.693671,0.00139,p2wpkh,GB,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:40:43Z,45.154.255.40,198.51.100.1,33471,8333,7a2e66a64c6adcca75d5c9386b7d3aadfb0c26c94179b780ff83df4ccdffc45c,1byi4GKoEMLd9odyPDLe3yytHT5vC1efxZ,0.279426,bc1qcamtkctx76hxnuhueh4u68d5afzyfn25fzjfl0,0.278867,0.000559,p2pkh,IN,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:47:54Z,91.240.118.192,198.51.100.1,39953,8333,dc25120d11846843d9c422112464bbe1135d5c27b75494bbd6873296bd988792,bc1qzx2az90malm968l42z0rmv4wj5zvwsg7xxts5a,1.449059,1avUz4k3pxyYvB5Pdo9x4Wc2xm62KXFBwv,1.446161,0.002898,p2wpkh,FR,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:48:35Z,104.244.72.62,198.51.100.1,59552,8333,68ab3017f2db061f92ae596665cede405854bf415879a754c8a5a58bdb2b80f8,1jBWn1wWt3ZWZSutFHg2MGkMNLzJgKUXJZ,0.908003,bc1qsqvf9vn5mwzsxdt8etgmt3jtdl77vcpjj5shgj,0.906187,0.001816,p2pkh,DE,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:58:33Z,172.67.182.80,198.51.100.1,41421,8333,0de90bc991e8871a40a2ab59b7ed89377b84b681f9f7c2c292d48e75eaae0095,1NH2UdocPpA27oatixsS3XxHiqFuDDYcfM,0.135444,16rzLPjPvYdanDjVHaBR2N2Do6FdoCXv3j,0.135173,0.000271,p2pkh,FR,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T09:59:14Z,45.154.255.206,198.51.100.1,42469,8333,0221a050481acbb5705ebee823a4bcab836f18b4b0187999f1e86ad8f75ef627,1pov9iV8B8Ywp3WNmaQoJ8Ga8CraQHoKp6,0.997349,bc1qn9hffhfxy028c0v5fgv9u5ve50mnlu60s775ra,0.995354,0.001995,p2wpkh,IN,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:02:00Z,104.21.55.143,198.51.100.1,50812,8333,ae339e5187ec9e05964df2178bf23138776b5e9ee42463b423f288793e7cb52f,bc1q06pl3cnwsqk68fpp6ms0qa6hfdsgpkgumjwsk7,0.68412,bc1qtwv67hlrx8d4rd2u5eqqgwlhtdf4lp64tw0kqu,0.682752,0.001368,p2sh,JP,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:02:27Z,185.220.101.135,198.51.100.1,4641,8333,8d4d14b130d7e493ff39d04afa1d45203835dad8a1ad5926ca4071da212b1c6a,1S4tfGkxUrknB7tan19STrGLg12JpxQF1z,0.495143,bc1qgf3uz5yv62rg5lnk3npucpynfw6gy0tgnswrpl,0.494153,0.00099,p2sh,SG,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:03:10Z,91.240.118.36,198.51.100.1,39449,8333,386df138f24ab686bc096d54d6ebc12fd918ba24bac0bf0c69f245c8da269871,bc1qdwhdwwajk822sxr4fpqcshckhnf0r20ek7r8re,0.413721,bc1q84z72pvmqe5u4fg45ungx5wq67qalwfj7tu6f5;bc1q246fkwt2vc2uc7jus2w4hwx82zaf4wyyk2lg2j,0.289605;0.123289,0.000827,p2pkh,JP,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:03:14Z,162.247.74.200,198.51.100.1,19555,8333,c67091256d4fac39f4b91a203a860621cb489d6b6d43ab3a8ff74350306fa701,1rA1W95H96tNphktWaeicFobkw8EiX6rYs,0.833494,1byi4GKoEMLd9odyPDLe3yytHT5vC1efxZ,0.831827,0.001667,p2wpkh,FR,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:06:31Z,104.21.55.87,198.51.100.1,30117,8333,b964dd52d299834859f265060ad7d8377e65410a90b83e46a1b5eb12bea5b988,bc1qsh9jsz33dp48rjvqg809p7pfnqgakd73fqdvsq,1.252598,bc1qg0zrct4g9rvtwettarynfed38kr9l9jvlwwl2w;bc1qzd37030eegzwg2ascd8jw0snckzj493nhghgem,0.876819;0.373274,0.002505,p2sh,NL,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:08:36Z,45.154.255.177,198.51.100.1,54971,8333,fac1609c69f48a59479dc0357cb4aff7fedc7bf4fe840361b9874c3aa5729a25,bc1q06pl3cnwsqk68fpp6ms0qa6hfdsgpkgumjwsk7,0.222224,1Yck9sfEwDdvbJrzoSktqZfVTYffY8isj4,0.22178,0.000444,p2sh,SG,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:12:41Z,198.51.100.59,198.51.100.1,34861,8333,126221e029792a298e1d38728f538f0ee9f08fc91d74d6516b2e0438567e67ed,1E2J46ywKbCWV8R83wkbmVCQkGpU8Ek5xr,0.372545,bc1qrfygm9f8ezct474v9w8af73ledms62gfwxg7nw,0.3718,0.000745,p2sh,JP,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:13:02Z,162.247.74.159,198.51.100.1,58751,8333,caa6959c36898e03eea041ea44a715fc6242d609c6de69cd5d4abc155ae4780e,bc1qqupr9kzrcxy943rx8wv6srqh6tgyxyzy46z48x,0.236236,bc1q0krey3lran9cqyf6j5j6hz8rth2kgxpkgf9k5v;18bBiniMv47Rd1AHKH8FrzqV7Sjps5UxB1,0.165365;0.070398,0.000473,p2wpkh,SG,AS15169,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:15:40Z,89.234.157.48,198.51.100.1,33883,8333,172a21c54c53fd4b341eeb4df81b5fc1dabecb9c4a90a743d4d3e32ca753e0ef,bc1qqupr9kzrcxy943rx8wv6srqh6tgyxyzy46z48x,0.381166,1JJiG1XsVbJwvmifA7ZceEWUAgadQrMcGn;bc1q246fkwt2vc2uc7jus2w4hwx82zaf4wyyk2lg2j,0.266816;0.113587,0.000763,p2pkh,CH,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:16:41Z,104.21.55.20,198.51.100.1,17133,8333,25edfcc2f7feabafe1834e5888692c64ed269e5b35bc74c36e191fb4670e6772,1vc33tXY8cbKEBMUW46EQe2kafeUh5fcuB,0.214617,1Cp3CUcnuZGtcT2SAS67CimdVGXcRZ7N9T;1LJBQmq73ReCnkoBX1xrxtab3xEwq2id69,0.150232;0.063956,0.000429,p2sh,DE,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:18:04Z,104.244.72.158,198.51.100.1,20335,8333,f2a8da71ed583f0f01f6ab57740ce1a35a9c81ce23aae6cc7f4bb445d7766cc7,bc1q5wz0ljum7z3eptrwj79c3tdvgq047c0sn2n8sh,1.489454,bc1q34skrku5nsfmukadcwdq9ta8zd8udchjqpc6ku;bc1qh5cathtry42rlcpj8xmyqp7tgxgd5ukamvdp22,1.042618;0.443857,0.002979,p2sh,FR,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:23:02Z,198.51.100.187,198.51.100.1,27230,8333,1163f9329fe1acd0dae381cc1e37cb3674b1077a6be186ac25a2e57e0f6ff4d0,1E2J46ywKbCWV8R83wkbmVCQkGpU8Ek5xr,1.269828,1R1FAN8mJW3rx49AneRaSY3oM2jNcYSMhY,1.267288,0.00254,p2sh,US,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:32:01Z,91.240.118.34,198.51.100.1,40493,8333,108ebfc9b9d7640c511769d4cbbc3ca81736e999979e49c8cb677758a44b66c7,bc1qjc9rq3efwgecg0qhn38att5ghjfjs5m53lrluv,1.077347,1pov9iV8B8Ywp3WNmaQoJ8Ga8CraQHoKp6,1.075192,0.002155,p2pkh,NL,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:32:54Z,172.67.182.80,198.51.100.1,15619,8333,b5939953aa5a1f9c1aefa0fe9ece4d5a7c26f9aa4916b29549be76b5352d5d43,bc1qh5cathtry42rlcpj8xmyqp7tgxgd5ukamvdp22,0.834265,bc1qqwu0xeq9lh3gd58eyw2wym6xjsqu8slpnza5hh,0.832596,0.001669,p2wpkh,JP,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:36:20Z,172.67.182.64,198.51.100.1,53498,8333,c5d30c56d09d04a6aa3716dc12b989afd94162e9086b3ee969f0e719a4aed4ed,1LbeBREa12cHyN6v2o5hGfVZrP5sQFe8Bx,1.188773,bc1qr7tcwa93wgkd9v3d6966djpax89l9llnfhwqhj,1.186395,0.002378,p2sh,JP,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:38:10Z,91.240.118.34,198.51.100.1,16945,8333,1f3e661e0354e02f1dbfdc2c0ff7510f0397a13f571acb73a33832321c76e44c,11Dzo7THMn5hYyN9xGcbUHgSy6bbjsZmaW,0.054167,188aihFfghpVBxxUG4PRHdvuaBNRXM1Hro,0.054059,0.000108,p2pkh,CH,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:38:45Z,91.240.118.244,198.51.100.1,18115,8333,4cf0828ebfa15a0b249ca1dd3fcddf3a7263d0796ee66c77c56a5d2a96e7def5,bc1qtwv67hlrx8d4rd2u5eqqgwlhtdf4lp64tw0kqu,1.41783,bc1qm26lu4fwkk8vwk7erv0yhvplrxlxuk6dx999ye,1.414994,0.002836,p2sh,JP,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:40:23Z,89.234.157.98,198.51.100.1,24276,8333,c78629b34abbaeb680f91cc9f8a0d3beba025c6947e2b556143d6a1572ef898f,bc1q8ek8jacc3c2f0haewal6kdrlfnj3h32f027syx,0.380045,bc1q5wz0ljum7z3eptrwj79c3tdvgq047c0sn2n8sh,0.379285,0.00076,p2pkh,DE,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:43:49Z,104.21.55.87,198.51.100.1,17417,8333,4e07fa128ce2a8750e9ffa43642f814bfd47dfef7aa61668ef252ba2d49af122,bc1qz57nyr2pkmdkz4d8sv789wf4k3mh7knlhnv6j8,0.353473,1YVceRk6hHL7YP1h3imJSGb5Hp1xTFYSfH,0.352766,0.000707,p2wpkh,CA,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:45:47Z,162.247.74.239,198.51.100.1,9285,8333,049264517043f6d271585db74c08d6915c61297994ec83e72611317c63c764a7,bc1q8ek8jacc3c2f0haewal6kdrlfnj3h32f027syx,0.647592,bc1qvcexgpdyxydcqwa8aesrnkk4df6lxelz2wyutx;13W2JH9WA3quTKa3eynBiGT15RyZfFKaWr,0.453314;0.192982,0.001296,p2wpkh,SG,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:48:53Z,185.220.101.135,198.51.100.1,31049,8333,03c95a2ff1465ba31c78f68f6d1b1f99d767d461d270ee009e2d3e9c34bfa3a9,bc1q5wz0ljum7z3eptrwj79c3tdvgq047c0sn2n8sh,0.477957,bc1qzx2az90malm968l42z0rmv4wj5zvwsg7xxts5a,0.477001,0.000956,p2sh,DE,AS51167,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:49:22Z,89.234.157.98,198.51.100.1,28060,8333,0ff8ebf324d56edb3132502ac466cf5ac86fe5332f6424935ea05f96c4af898e,bc1qh4mu3em7q02k7zhupu8psg4ehygfa40hpjtu73,1.06812,1fccEyQpSN3SLDS9qgCtv6ZbMEbk9tbXBa,1.065984,0.002136,p2sh,FR,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:53:02Z,172.67.182.80,198.51.100.1,31364,8333,f9c318ab7a4e20ee8e65601150ae6b80d08a9309a323083d2e643e4634a42ce9,1S4tfGkxUrknB7tan19STrGLg12JpxQF1z,0.752013,1Y2X1TruiHSVCpjqXRue6N8UwDKXpYDVyA,0.750509,0.001504,p2pkh,IN,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:54:48Z,104.244.72.62,198.51.100.1,22080,8333,8f37ee4e93f14ebf6b65e83924197301e0910d90d2cac6be9f71b8db16dcb0da,bc1qh4mu3em7q02k7zhupu8psg4ehygfa40hpjtu73,0.887939,bc1qqhqq5asm8pu7spdyf79aneetczy42fqcqlel3s,0.886163,0.001776,p2pkh,FR,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:56:36Z,91.240.118.34,198.51.100.1,16822,8333,07f761284e8c7aa7f8ab6027d9c502d1087c174a7c86fa81348be752382f39ad,1GWUs9KjF92HoWajcEi1JoedRQg9i3ctDU,0.450338,1vc33tXY8cbKEBMUW46EQe2kafeUh5fcuB,0.449437,0.000901,p2wpkh,SG,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T10:56:48Z,104.21.55.246,198.51.100.1,31924,8333,dbbc353b63a3d99ea136e7d5ed535baf2d37a98b127431793a6e614b1d74ee26,1SqW3KWAWzWV5z1gzRrg2yEG5PkoKFrQ9f,1.474832,bc1qz57nyr2pkmdkz4d8sv789wf4k3mh7knlhnv6j8,1.471882,0.00295,p2pkh,SG,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T11:00:03Z,185.220.101.12,198.51.100.1,39684,8333,364cf7c9a1c57c4841c43d75e213beaff5a0df612f2a07a238da5c33ebea80fc,1W1837DarkNodeHighFreqLeadX99999,13.762413,3yaM7YYn9McC9ZNRfWVyrakqUg4CDP397b,13.761563,0.00085,p2sh,CH,AS9009,SYNTHETIC_DEMO_BURST
2026-09-10T11:00:23Z,185.220.101.16,198.51.100.1,30528,8333,7dc8e1426ff2b9578f14a0bec933a88b4e648b5a32f2498c409cc8b3efeba921,1W1837DarkNodeHighFreqLeadX99999,10.008897,3yaM7YYn9McC9ZNRfWVyrakqUg4CDP397b,10.008047,0.00085,p2sh,CH,AS9009,SYNTHETIC_DEMO_BURST
2026-09-10T11:00:37Z,185.220.101.17,198.51.100.1,33304,8333,23d9b2e6afe6100aa801731d791a3eaa1a5513d90b2ab1204a6bbb0fe03f7084,1W1837DarkNodeHighFreqLeadX99999,15.155487,3vL8jU6AP4nB3s3SReQQ2JJ6ihnxkViT1Z,15.154637,0.00085,p2sh,CH,AS9009,SYNTHETIC_DEMO_BURST
